cell_id,celltype,dataset
[1] Kidney_1cell_001.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[2] Kidney_1cell_002.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[3] Kidney_1cell_003.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[4] Kidney_1cell_004.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[5] Kidney_1cell_005.htrms.PG.Quantity,Descending vasa recta,kidney768
[6] Kidney_1cell_006.htrms.PG.Quantity,Descending vasa recta,kidney768
[7] Kidney_1cell_007.htrms.PG.Quantity,Descending vasa recta,kidney768
[8] Kidney_1cell_008.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[9] Kidney_1cell_009.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[10] Kidney_1cell_010.htrms.PG.Quantity,CNT,kidney768
[11] Kidney_1cell_011.htrms.PG.Quantity,Descending vasa recta,kidney768
[12] Kidney_1cell_012.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[14] Kidney_1cell_014.htrms.PG.Quantity,Juxtaglomerular cells,kidney768
[15] Kidney_1cell_015.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[16] Kidney_1cell_016.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[17] Kidney_1cell_017.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[18] Kidney_1cell_018.htrms.PG.Quantity,Descending vasa recta,kidney768
[19] Kidney_1cell_019.htrms.PG.Quantity,Descending vasa recta,kidney768
[20] Kidney_1cell_020.htrms.PG.Quantity,Descending vasa recta,kidney768
[21] Kidney_1cell_021.htrms.PG.Quantity,Unknown,kidney768
[22] Kidney_1cell_022.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[24] Kidney_1cell_024.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[25] Kidney_1cell_025.htrms.PG.Quantity,Proximal straight tubule,kidney768
[27] Kidney_1cell_027.htrms.PG.Quantity,Descending vasa recta,kidney768
[28] Kidney_1cell_028.htrms.PG.Quantity,Descending vasa recta,kidney768
[29] Kidney_1cell_029.htrms.PG.Quantity,Descending vasa recta,kidney768
[30] Kidney_1cell_030.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[31] Kidney_1cell_031.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[32] Kidney_1cell_032.htrms.PG.Quantity,Proximal straight tubule,kidney768
[33] Kidney_1cell_033.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[34] Kidney_1cell_034.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[35] Kidney_1cell_035.htrms.PG.Quantity,Descending vasa recta,kidney768
[36] Kidney_1cell_036.htrms.PG.Quantity,CNT,kidney768
[37] Kidney_1cell_037.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[38] Kidney_1cell_038.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[39] Kidney_1cell_039.htrms.PG.Quantity,Descending vasa recta,kidney768
[40] Kidney_1cell_040.htrms.PG.Quantity,DCT2,kidney768
[41] Kidney_1cell_041.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[42] Kidney_1cell_042.htrms.PG.Quantity,Descending vasa recta,kidney768
[43] Kidney_1cell_043.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[44] Kidney_1cell_044.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[45] Kidney_1cell_045.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[46] Kidney_1cell_046.htrms.PG.Quantity,Juxtaglomerular cells,kidney768
[47] Kidney_1cell_047.htrms.PG.Quantity,Descending vasa recta,kidney768
[48] Kidney_1cell_048.htrms.PG.Quantity,Descending vasa recta,kidney768
[49] Kidney_1cell_049.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[50] Kidney_1cell_050.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[51] Kidney_1cell_051.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[52] Kidney_1cell_052.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[53] Kidney_1cell_053.htrms.PG.Quantity,CNT,kidney768
[54] Kidney_1cell_054.htrms.PG.Quantity,Descending vasa recta,kidney768
[55] Kidney_1cell_055.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[56] Kidney_1cell_056.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[57] Kidney_1cell_057.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[58] Kidney_1cell_058.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[59] Kidney_1cell_059.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[60] Kidney_1cell_060.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[61] Kidney_1cell_061.htrms.PG.Quantity,CNT,kidney768
[63] Kidney_1cell_063.htrms.PG.Quantity,Proximal straight tubule,kidney768
[66] Kidney_1cell_066.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[67] Kidney_1cell_067.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[69] Kidney_1cell_069.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[70] Kidney_1cell_070.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[71] Kidney_1cell_071.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[72] Kidney_1cell_072.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[73] Kidney_1cell_073.htrms.PG.Quantity,Proximal straight tubule,kidney768
[74] Kidney_1cell_074.htrms.PG.Quantity,CNT,kidney768
[75] Kidney_1cell_075.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[76] Kidney_1cell_076.htrms.PG.Quantity,Proximal straight tubule,kidney768
[77] Kidney_1cell_077.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[78] Kidney_1cell_078.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[79] Kidney_1cell_079.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[80] Kidney_1cell_080.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[81] Kidney_1cell_081.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[82] Kidney_1cell_082.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[83] Kidney_1cell_083.htrms.PG.Quantity,Descending vasa recta,kidney768
[84] Kidney_1cell_084.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[85] Kidney_1cell_085.htrms.PG.Quantity,DCT2,kidney768
[86] Kidney_1cell_086.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[87] Kidney_1cell_087.htrms.PG.Quantity,CNT,kidney768
[88] Kidney_1cell_088.htrms.PG.Quantity,Unknown,kidney768
[89] Kidney_1cell_089.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[90] Kidney_1cell_090.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[91] Kidney_1cell_091.htrms.PG.Quantity,Proximal straight tubule,kidney768
[92] Kidney_1cell_092.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[94] Kidney_1cell_094.htrms.PG.Quantity,Descending vasa recta,kidney768
[96] Kidney_1cell_096.htrms.PG.Quantity,Proximal straight tubule,kidney768
[97] Kidney_1cell_097.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[98] Kidney_1cell_098.htrms.PG.Quantity,Descending vasa recta,kidney768
[99] Kidney_1cell_099.htrms.PG.Quantity,Macula densa,kidney768
[100] Kidney_1cell_100.htrms.PG.Quantity,Juxtaglomerular cells,kidney768
[101] Kidney_1cell_101.htrms.PG.Quantity,Juxtaglomerular cells,kidney768
[102] Kidney_1cell_102.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[103] Kidney_1cell_103.htrms.PG.Quantity,Proximal straight tubule,kidney768
[104] Kidney_1cell_104.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[105] Kidney_1cell_105.htrms.PG.Quantity,DCT2,kidney768
[106] Kidney_1cell_106.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[107] Kidney_1cell_107.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[108] Kidney_1cell_108.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[109] Kidney_1cell_109.htrms.PG.Quantity,Proximal straight tubule,kidney768
[110] Kidney_1cell_110.htrms.PG.Quantity,CNT,kidney768
[111] Kidney_1cell_111.htrms.PG.Quantity,Proximal straight tubule,kidney768
[112] Kidney_1cell_112.htrms.PG.Quantity,CNT,kidney768
[113] Kidney_1cell_113.htrms.PG.Quantity,Proximal straight tubule,kidney768
[114] Kidney_1cell_114.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[115] Kidney_1cell_115.htrms.PG.Quantity,Proximal straight tubule,kidney768
[116] Kidney_1cell_116.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[117] Kidney_1cell_117.htrms.PG.Quantity,CNT,kidney768
[118] Kidney_1cell_118.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[119] Kidney_1cell_119.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[120] Kidney_1cell_120.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[121] Kidney_1cell_121.htrms.PG.Quantity,CNT,kidney768
[122] Kidney_1cell_122.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[123] Kidney_1cell_123.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[124] Kidney_1cell_124.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[125] Kidney_1cell_125.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[126] Kidney_1cell_126.htrms.PG.Quantity,DCT2,kidney768
[127] Kidney_1cell_127.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[128] Kidney_1cell_128.htrms.PG.Quantity,DCT2,kidney768
[129] Kidney_1cell_129.htrms.PG.Quantity,Juxtaglomerular cells,kidney768
[130] Kidney_1cell_130.htrms.PG.Quantity,Descending vasa recta,kidney768
[131] Kidney_1cell_131.htrms.PG.Quantity,Descending vasa recta,kidney768
[132] Kidney_1cell_132.htrms.PG.Quantity,Unknown,kidney768
[134] Kidney_1cell_134.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[135] Kidney_1cell_135.htrms.PG.Quantity,Descending vasa recta,kidney768
[136] Kidney_1cell_136.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[137] Kidney_1cell_137.htrms.PG.Quantity,Descending vasa recta,kidney768
[138] Kidney_1cell_138.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[139] Kidney_1cell_139.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[140] Kidney_1cell_140.htrms.PG.Quantity,Descending vasa recta,kidney768
[141] Kidney_1cell_141.htrms.PG.Quantity,Proximal straight tubule,kidney768
[142] Kidney_1cell_142.htrms.PG.Quantity,Descending vasa recta,kidney768
[143] Kidney_1cell_143.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[144] Kidney_1cell_144.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[145] Kidney_1cell_145.htrms.PG.Quantity,CNT,kidney768
[146] Kidney_1cell_146.htrms.PG.Quantity,Proximal straight tubule,kidney768
[147] Kidney_1cell_147.htrms.PG.Quantity,Descending vasa recta,kidney768
[148] Kidney_1cell_148.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[149] Kidney_1cell_149.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[151] Kidney_1cell_151.htrms.PG.Quantity,Proximal straight tubule,kidney768
[152] Kidney_1cell_152.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[153] Kidney_1cell_153.htrms.PG.Quantity,Proximal straight tubule,kidney768
[154] Kidney_1cell_154.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[155] Kidney_1cell_155.htrms.PG.Quantity,Unknown,kidney768
[158] Kidney_1cell_158.htrms.PG.Quantity,Unknown,kidney768
[159] Kidney_1cell_159.htrms.PG.Quantity,Descending vasa recta,kidney768
[160] Kidney_1cell_160.htrms.PG.Quantity,CNT,kidney768
[161] Kidney_1cell_161.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[162] Kidney_1cell_162.htrms.PG.Quantity,Descending vasa recta,kidney768
[163] Kidney_1cell_163.htrms.PG.Quantity,Unknown,kidney768
[164] Kidney_1cell_164.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[165] Kidney_1cell_165.htrms.PG.Quantity,Descending vasa recta,kidney768
[166] Kidney_1cell_166.htrms.PG.Quantity,Juxtaglomerular cells,kidney768
[167] Kidney_1cell_167.htrms.PG.Quantity,Descending vasa recta,kidney768
[169] Kidney_1cell_169.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[170] Kidney_1cell_170.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[171] Kidney_1cell_171.htrms.PG.Quantity,Proximal straight tubule,kidney768
[172] Kidney_1cell_172.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[173] Kidney_1cell_173.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[174] Kidney_1cell_174.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[175] Kidney_1cell_175.htrms.PG.Quantity,Juxtaglomerular cells,kidney768
[176] Kidney_1cell_176.htrms.PG.Quantity,Unknown,kidney768
[177] Kidney_1cell_177.htrms.PG.Quantity,Descending vasa recta,kidney768
[178] Kidney_1cell_178.htrms.PG.Quantity,CNT,kidney768
[179] Kidney_1cell_179.htrms.PG.Quantity,Proximal straight tubule,kidney768
[180] Kidney_1cell_180.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[181] Kidney_1cell_181.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[182] Kidney_1cell_182.htrms.PG.Quantity,Proximal straight tubule,kidney768
[183] Kidney_1cell_183.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[184] Kidney_1cell_184.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[185] Kidney_1cell_185.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[186] Kidney_1cell_186.htrms.PG.Quantity,Juxtaglomerular cells,kidney768
[187] Kidney_1cell_187.htrms.PG.Quantity,Proximal straight tubule,kidney768
[189] Kidney_1cell_189.htrms.PG.Quantity,Descending vasa recta,kidney768
[190] Kidney_1cell_190.htrms.PG.Quantity,Descending vasa recta,kidney768
[191] Kidney_1cell_191.htrms.PG.Quantity,Proximal straight tubule,kidney768
[192] Kidney_1cell_192.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[194] Kidney_1cell_194.htrms.PG.Quantity,Proximal straight tubule,kidney768
[195] Kidney_1cell_195.htrms.PG.Quantity,Macula densa,kidney768
[196] Kidney_1cell_196.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[197] Kidney_1cell_197.htrms.PG.Quantity,Proximal straight tubule,kidney768
[198] Kidney_1cell_198.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[199] Kidney_1cell_199.htrms.PG.Quantity,Unknown,kidney768
[200] Kidney_1cell_200.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[201] Kidney_1cell_201.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[202] Kidney_1cell_202.htrms.PG.Quantity,Proximal straight tubule,kidney768
[203] Kidney_1cell_203.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[204] Kidney_1cell_204.htrms.PG.Quantity,DCT2,kidney768
[205] Kidney_1cell_205.htrms.PG.Quantity,Macula densa,kidney768
[208] Kidney_1cell_208.htrms.PG.Quantity,Descending vasa recta,kidney768
[209] Kidney_1cell_209.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[210] Kidney_1cell_210.htrms.PG.Quantity,Proximal straight tubule,kidney768
[211] Kidney_1cell_211.htrms.PG.Quantity,Proximal straight tubule,kidney768
[212] Kidney_1cell_212.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[213] Kidney_1cell_213.htrms.PG.Quantity,Proximal straight tubule,kidney768
[217] Kidney_1cell_217.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[220] Kidney_1cell_220.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[221] Kidney_1cell_221.htrms.PG.Quantity,Proximal straight tubule,kidney768
[222] Kidney_1cell_222.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[223] Kidney_1cell_223.htrms.PG.Quantity,CNT,kidney768
[224] Kidney_1cell_224.htrms.PG.Quantity,CNT,kidney768
[225] Kidney_1cell_225.htrms.PG.Quantity,Juxtaglomerular cells,kidney768
[226] Kidney_1cell_226.htrms.PG.Quantity,Proximal straight tubule,kidney768
[227] Kidney_1cell_227.htrms.PG.Quantity,Juxtaglomerular cells,kidney768
[228] Kidney_1cell_228.htrms.PG.Quantity,Unknown,kidney768
[229] Kidney_1cell_229.htrms.PG.Quantity,Proximal straight tubule,kidney768
[230] Kidney_1cell_230.htrms.PG.Quantity,DCT2,kidney768
[231] Kidney_1cell_231.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[232] Kidney_1cell_232.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[233] Kidney_1cell_233.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[234] Kidney_1cell_234.htrms.PG.Quantity,Proximal straight tubule,kidney768
[235] Kidney_1cell_235.htrms.PG.Quantity,Descending vasa recta,kidney768
[236] Kidney_1cell_236.htrms.PG.Quantity,Descending vasa recta,kidney768
[237] Kidney_1cell_237.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[238] Kidney_1cell_238.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[239] Kidney_1cell_239.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[240] Kidney_1cell_240.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[241] Kidney_1cell_241.htrms.PG.Quantity,CNT,kidney768
[242] Kidney_1cell_242.htrms.PG.Quantity,CNT,kidney768
[243] Kidney_1cell_243.htrms.PG.Quantity,CNT,kidney768
[244] Kidney_1cell_244.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[245] Kidney_1cell_245.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[246] Kidney_1cell_246.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[247] Kidney_1cell_247.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[248] Kidney_1cell_248.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[249] Kidney_1cell_249.htrms.PG.Quantity,CNT,kidney768
[250] Kidney_1cell_250.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[251] Kidney_1cell_251.htrms.PG.Quantity,Descending vasa recta,kidney768
[252] Kidney_1cell_252.htrms.PG.Quantity,Proximal straight tubule,kidney768
[253] Kidney_1cell_253.htrms.PG.Quantity,Descending vasa recta,kidney768
[254] Kidney_1cell_254.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[255] Kidney_1cell_255.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[256] Kidney_1cell_256.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[257] Kidney_1cell_257.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[258] Kidney_1cell_258.htrms.PG.Quantity,Macula densa,kidney768
[259] Kidney_1cell_259.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[260] Kidney_1cell_260.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[261] Kidney_1cell_261.htrms.PG.Quantity,Descending vasa recta,kidney768
[262] Kidney_1cell_262.htrms.PG.Quantity,Proximal straight tubule,kidney768
[263] Kidney_1cell_263.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[264] Kidney_1cell_264.htrms.PG.Quantity,Descending vasa recta,kidney768
[265] Kidney_1cell_265.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[266] Kidney_1cell_266.htrms.PG.Quantity,Descending vasa recta,kidney768
[267] Kidney_1cell_267.htrms.PG.Quantity,CNT,kidney768
[268] Kidney_1cell_268.htrms.PG.Quantity,Descending vasa recta,kidney768
[269] Kidney_1cell_269.htrms.PG.Quantity,CNT,kidney768
[270] Kidney_1cell_270.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[271] Kidney_1cell_271.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[273] Kidney_1cell_273.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[274] Kidney_1cell_274.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[275] Kidney_1cell_275.htrms.PG.Quantity,Descending vasa recta,kidney768
[276] Kidney_1cell_276.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[277] Kidney_1cell_277.htrms.PG.Quantity,CNT,kidney768
[278] Kidney_1cell_278.htrms.PG.Quantity,Proximal straight tubule,kidney768
[279] Kidney_1cell_279.htrms.PG.Quantity,CNT,kidney768
[280] Kidney_1cell_280.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[281] Kidney_1cell_281.htrms.PG.Quantity,Descending vasa recta,kidney768
[282] Kidney_1cell_282.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[283] Kidney_1cell_283.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[284] Kidney_1cell_284.htrms.PG.Quantity,Proximal straight tubule,kidney768
[286] Kidney_1cell_286.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[287] Kidney_1cell_287.htrms.PG.Quantity,Proximal straight tubule,kidney768
[288] Kidney_1cell_288.htrms.PG.Quantity,Unknown,kidney768
[289] Kidney_1cell_289.htrms.PG.Quantity,Juxtaglomerular cells,kidney768
[290] Kidney_1cell_290.htrms.PG.Quantity,CNT,kidney768
[291] Kidney_1cell_291.htrms.PG.Quantity,CD-intercalated cells (type B),kidney768
[292] Kidney_1cell_292.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[293] Kidney_1cell_293.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[294] Kidney_1cell_294.htrms.PG.Quantity,Proximal straight tubule,kidney768
[295] Kidney_1cell_295.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[296] Kidney_1cell_296.htrms.PG.Quantity,CNT,kidney768
[297] Kidney_1cell_297.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[298] Kidney_1cell_298.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[299] Kidney_1cell_299.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
