cell_id,dataset,celltype,n_proteins_identified,intensity_max,intensity_min_detected,intensity_median,dynamic_range_log10
[84] Kidney_1cell_084.htrms.PG.Quantity,kidney768,Proximal convoluted tubule,541,22743.57421875,222.4676513671875,730.5875244140625,2.009591846449137
[191] Kidney_1cell_191.htrms.PG.Quantity,kidney768,Proximal straight tubule,283,25539.03515625,211.72677612304688,790.5808715820312,2.0814287012070207
[1] Kidney_1cell_001.htrms.PG.Quantity,kidney768,Proximal convoluted tubule,951,87244.953125,157.8105010986328,523.5895385742188,2.7426044147870607
[184] Kidney_1cell_184.htrms.PG.Quantity,kidney768,Thick ascending limb of LOH,229,3063133.75,297.8064880371094,1276.1531982421875,4.01223180534792
[353] Kidney_1cell_353.htrms.PG.Quantity,kidney768,Thick ascending limb of LOH,337,40898.6328125,187.1980438232422,864.6119384765625,2.339407484208943
[276] Kidney_1cell_276.htrms.PG.Quantity,kidney768,Proximal convoluted tubule,780,461080.46875,133.82200622558594,469.3700866699219,3.5372491895815714
[312] Kidney_1cell_312.htrms.PG.Quantity,kidney768,Macula densa,123,129476.015625,144.92050170898438,505.4659423828125,2.9510594974847306
[702] Kidney_1cell_702.htrms.PG.Quantity,kidney768,Proximal straight tubule,571,675069.4375,141.37142944335938,625.6931762695312,3.6789867972820773
[505] Kidney_1cell_505.htrms.PG.Quantity,kidney768,Proximal convoluted tubule,194,307975.09375,226.9879150390625,996.2600402832031,3.1325128603643577
[142] Kidney_1cell_142.htrms.PG.Quantity,kidney768,Descending vasa recta,107,13937.18359375,276.0706787109375,984.2116088867188,1.7031547380653176
[749] Kidney_1cell_749.htrms.PG.Quantity,kidney768,CNT,1504,918973.375,86.61239624023438,305.86643981933594,4.025722874884322
[705] Kidney_1cell_705.htrms.PG.Quantity,kidney768,Proximal straight tubule,1607,70764.2265625,64.32493591308594,269.3869323730469,3.041434402092759
[496] Kidney_1cell_496.htrms.PG.Quantity,kidney768,Proximal straight tubule,1491,36281.60546875,74.34178161621094,307.35595703125,2.68845353159462
[241] Kidney_1cell_241.htrms.PG.Quantity,kidney768,CNT,708,184697.46875,123.99858093261719,534.2178039550781,3.173044228515015
[432] Kidney_1cell_432.htrms.PG.Quantity,kidney768,Proximal convoluted tubule,876,107246.390625,148.04949951171875,508.0381774902344,2.859975741356218
[2] Kidney_1cell_002.htrms.PG.Quantity,kidney768,Thick ascending limb of LOH,172,35564.87109375,407.3180236816406,1445.4442749023438,1.9410876110278088
[393] Kidney_1cell_393.htrms.PG.Quantity,kidney768,Proximal convoluted tubule,551,32166.060546875,195.411865234375,744.774658203125,2.216446944934245
[389] Kidney_1cell_389.htrms.PG.Quantity,kidney768,Proximal convoluted tubule,139,190916.40625,354.5933837890625,1096.63037109375,2.7311126227294755
[420] Kidney_1cell_420.htrms.PG.Quantity,kidney768,Descending vasa recta,380,2087511.625,174.32220458984375,643.4277648925781,4.078276193036967
[595] Kidney_1cell_595.htrms.PG.Quantity,kidney768,DCT2,1112,152093.0,136.74880981445312,482.1832580566406,3.0461856711743818
[494] Kidney_1cell_494.htrms.PG.Quantity,kidney768,Unknown,146,594513.0625,263.0163269042969,1110.7386474609375,3.354178692844604
[607] Kidney_1cell_607.htrms.PG.Quantity,kidney768,Proximal convoluted tubule,179,39605.2890625,219.9617462158203,891.8236694335938,2.255406028603849
[51] Kidney_1cell_051.htrms.PG.Quantity,kidney768,Thick ascending limb of LOH,166,20138.203125,236.3826904296875,989.0494995117188,1.930405045738648
[361] Kidney_1cell_361.htrms.PG.Quantity,kidney768,Proximal straight tubule,1751,196610.109375,54.99427795410156,243.11111450195312,3.5532883404299986
[123] Kidney_1cell_123.htrms.PG.Quantity,kidney768,Proximal convoluted tubule,574,49858.2265625,195.27761840820312,701.6367797851562,2.407084356941504
[601] Kidney_1cell_601.htrms.PG.Quantity,kidney768,Proximal straight tubule,1570,148281.0625,72.5125503540039,292.6144561767578,3.3106725092249243
[499] Kidney_1cell_499.htrms.PG.Quantity,kidney768,Proximal convoluted tubule,268,101010.6875,193.4402313232422,772.888427734375,2.7178205241544715
[159] Kidney_1cell_159.htrms.PG.Quantity,kidney768,Descending vasa recta,636,70079.078125,144.2513427734375,577.1860046386719,2.686468515642025
[189] Kidney_1cell_189.htrms.PG.Quantity,kidney768,Descending vasa recta,268,693808.125,214.8968963623047,711.2401428222656,3.5090092381811075
[217] Kidney_1cell_217.htrms.PG.Quantity,kidney768,Thick ascending limb of LOH,192,319882.84375,152.0310821533203,834.2169189453125,3.323058561417664
[186] Kidney_1cell_186.htrms.PG.Quantity,kidney768,Juxtaglomerular cells,507,258037.203125,136.56883239746094,441.4117736816406,3.2763307295124755
[464] Kidney_1cell_464.htrms.PG.Quantity,kidney768,Proximal convoluted tubule,113,594371.6875,304.86505126953125,1572.46533203125,3.2899504727938833
[591] Kidney_1cell_591.htrms.PG.Quantity,kidney768,Thick ascending limb of LOH,935,77525.5546875,132.23135375976562,480.2502746582031,2.7681104380693657
[135] Kidney_1cell_135.htrms.PG.Quantity,kidney768,Descending vasa recta,543,283748.65625,230.86085510253906,808.2385864257812,3.089583513574311
[615] Kidney_1cell_615.htrms.PG.Quantity,kidney768,Proximal convoluted tubule,1090,307655.1875,129.9940643310547,457.1783142089844,3.3741407198968436
[323] Kidney_1cell_323.htrms.PG.Quantity,kidney768,Descending vasa recta,172,2052314.5,174.2261199951172,815.0823974609375,4.071130648510423
[69] Kidney_1cell_069.htrms.PG.Quantity,kidney768,Thick ascending limb of LOH,104,50880.02734375,331.50164794921875,1319.8406372070312,2.18606164434184
[624] Kidney_1cell_624.htrms.PG.Quantity,kidney768,Proximal convoluted tubule,1011,136953.453125,126.8621597290039,500.91546630859375,3.0332408863195695
[386] Kidney_1cell_386.htrms.PG.Quantity,kidney768,Thick ascending limb of LOH,1255,70512.03125,105.81002044677734,393.38531494140625,2.8237364273290315
[262] Kidney_1cell_262.htrms.PG.Quantity,kidney768,Proximal straight tubule,1038,146607.96875,119.97322845458984,525.545654296875,3.087073230865078
[363] Kidney_1cell_363.htrms.PG.Quantity,kidney768,Proximal straight tubule,647,340332.15625,149.72251892089844,580.2783203125,3.3566158602625027
[216] Kidney_1cell_216.htrms.PG.Quantity,,,15,15617.1865234375,179.72735595703125,1421.2615966796875,1.9389886120407798
[325] Kidney_1cell_325.htrms.PG.Quantity,kidney768,Proximal convoluted tubule,504,46531.734375,234.49415588378906,754.98046875,2.2976172166703783
[537] Kidney_1cell_537.htrms.PG.Quantity,,,8,9371.3125,245.65283203125,2290.8592529296875,1.5814786449960896
[687] Kidney_1cell_687.htrms.PG.Quantity,kidney768,Thick ascending limb of LOH,927,270949.59375,145.73764038085938,548.7144165039062,3.2693167705463533
[161] Kidney_1cell_161.htrms.PG.Quantity,kidney768,Thick ascending limb of LOH,738,108634.6875,136.43797302246094,488.6461944580078,2.9010332606716527
